cell_id,B2_2020,B3_2020,B4_2020,B8_2020,B11_2020,NDVI_2020,NDWI_2020,NDBI_2020,vegetation_2021,built_up_2021,water_2021,other_2021
"4925,25421",563.5017764904668,736.646024619842,764.1645619116591,1969.6891817523565,1734.5102244750206,0.4371236219214182,-0.451516828683425,-0.0573183936699064,0.494496688358082,0.505503311641918,0.0,0.0
"4926,25421",895.5684286748747,1073.7963166787367,1106.147453536087,2080.655129133482,1981.942428192135,0.3115148605554687,-0.3244760865366859,-0.0016206835661836,0.2177090775677293,0.7822909224322706,0.0,0.0
"4927,25421",627.0227468018356,769.0675790489989,865.6467632150632,1591.6067970070028,1815.9838426261176,0.2962945148149823,-0.3479162616741646,0.0689160888913111,0.1118137756579836,0.8881862243420163,0.0,0.0
"4928,25421",553.2540622737155,697.1674100893085,790.3571228578337,1797.5618392469253,1879.747356987693,0.3842909783640773,-0.4355442018204188,0.0295453702472394,0.2002626141695791,0.7997373858304209,0.0,0.0
"4929,25421",677.1614627081838,837.1994641564095,929.5751243060604,2033.920526188756,1908.3708327299096,0.3781077790080754,-0.4197571648578974,-0.0235006205690869,0.3479348098943751,0.6520651901056248,0.0,1.1102230246251563e-16
"4930,25421",1335.195505672221,1475.13418778663,1571.659710354818,2001.8525126719808,1976.1854067101171,0.1503633989461109,-0.185617703740141,0.0021690536958165,0.0853302952478421,0.914669704752158,0.0,0.0
"4931,25421",838.26153511948,971.2727202510276,1047.9166835626374,1650.1623412985791,1740.1911513396117,0.2285077732833118,-0.2662325844969002,0.0353580954732182,0.1677834205495588,0.8322165794504413,0.0,0.0
"4932,25421",1116.402095100171,1245.27286507362,1345.3906734250563,1801.1302051653408,1890.626145305337,0.158249491051171,-0.1986970109902375,0.0343404947120136,0.0923397763917585,0.9076602236082416,0.0,-1.1102230246251563e-16
"4933,25421",1410.5990248612145,1574.4773062997858,1707.9022109582456,2242.2528650736213,2396.882408882455,0.1571441244323805,-0.1983267546718637,0.0408574358746882,0.0853302952478421,0.914669704752158,0.0,0.0
"4934,25421",981.4780979966228,1126.7792276128428,1220.9427854211942,1893.988457639395,1985.7922713009937,0.2268081683752172,-0.2610502201437141,0.0241767092416157,0.1025933149245949,0.897406685075405,0.0,0.0
"4935,25421",1357.740251025829,1548.836302196478,1708.4958049722452,2193.643340574466,2448.7150518947674,0.145124897358272,-0.1916662736765513,0.0662356757363555,0.0869812887404174,0.8696197887500724,0.0,0.0433989225095101
