system:index,B11,B2,B3,B4,B8,NDBI,NDVI,NDWI,cell_id,.geo
"4917,25415",1527.032588121679,265.9141718976338,442.85698213423444,340.165084500241,2630.6409608884574,-0.2626514664696075,0.7699668918434215,-0.7107207098186571,"4917,25415","{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1229250.0,6353750.0],[1229500.0,6353750.0],[1229500.0,6354000.0],[1229250.0,6354000.0],[1229250.0,6353750.0]]]}"
"4918,25415",1655.6042105263155,313.4371559633025,498.2093336552386,420.0437083534523,2465.4115403186843,-0.19331077359063742,0.7086838804249234,-0.6628161449818434,"4918,25415","{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1229500.0,6353750.0],[1229750.0,6353750.0],[1229750.0,6354000.0],[1229500.0,6354000.0],[1229500.0,6353750.0]]]}"
"4919,25415",1655.0034717527756,439.0943457267017,598.0297199420565,552.5178174794784,2248.7555963302734,-0.1420101022498337,0.5979452281438816,-0.5705143983932474,"4919,25415","{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1229750.0,6353750.0],[1230000.0,6353750.0],[1230000.0,6354000.0],[1229750.0,6354000.0],[1229750.0,6353750.0]]]}"
"4920,25415",1672.1890391115382,677.4826653790435,822.2575663930464,842.3343795267983,1913.8654901013988,-0.05027417735036682,0.3954196695542291,-0.4000928317005156,"4920,25415","{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1230000.0,6353750.0],[1230250.0,6353750.0],[1230250.0,6354000.0],[1230000.0,6354000.0],[1230000.0,6353750.0]]]}"
"4921,25415",1702.8091984548507,741.0278947368414,897.1694736842094,978.7146306132299,1642.7290777402206,0.029958368037386912,0.2531108203125181,-0.29122406766486986,"4921,25415","{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1230250.0,6353750.0],[1230500.0,6353750.0],[1230500.0,6354000.0],[1230250.0,6354000.0],[1230250.0,6353750.0]]]}"
"4922,25415",1809.8558619024614,603.1096330275224,754.4359536455811,862.2442539835823,1656.1916513761446,0.05817833298193279,0.3077774024062392,-0.36481507784595,"4922,25415","{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1230500.0,6353750.0],[1230750.0,6353750.0],[1230750.0,6354000.0],[1230500.0,6354000.0],[1230500.0,6353750.0]]]}"
"4923,25415",1906.571738290679,722.288575567358,878.7927281506514,928.2432448092704,1847.725127957507,0.02611942822507461,0.3319287590389771,-0.3554744184492503,"4923,25415","{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1230750.0,6353750.0],[1231000.0,6353750.0],[1231000.0,6354000.0],[1230750.0,6354000.0],[1230750.0,6353750.0]]]}"
"4924,25415",1909.679816513761,677.5283244809264,839.2938145823274,837.609859971028,1821.6207677450484,0.0399660415376607,0.364708170208857,-0.3612662015017975,"4924,25415","{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1231000.0,6353750.0],[1231250.0,6353750.0],[1231250.0,6354000.0],[1231000.0,6354000.0],[1231000.0,6353750.0]]]}"
"4925,25415",2173.194707870592,779.3536648961854,955.504833413809,1033.3302124577488,1919.6520714630594,0.06769217951712186,0.2994956747606253,-0.3299977772006607,"4925,25415","{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1231250.0,6353750.0],[1231500.0,6353750.0],[1231500.0,6354000.0],[1231250.0,6354000.0],[1231250.0,6353750.0]]]}"
"4926,25415",1991.5315354900993,866.6006373732489,1071.620985031385,1128.6618252052135,2054.7259777885065,-0.005306531541851116,0.2949002366281738,-0.31389907276798756,"4926,25415","{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1231500.0,6353750.0],[1231750.0,6353750.0],[1231750.0,6354000.0],[1231500.0,6354000.0],[1231500.0,6353750.0]]]}"
"4927,25415",1944.871047802991,866.0251955577016,1047.2386624818917,1137.4644374698205,1917.060922259776,0.014990619687037361,0.2683796659776997,-0.3004628084768683,"4927,25415","{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1231750.0,6353750.0],[1232000.0,6353750.0],[1232000.0,6354000.0],[1231750.0,6354000.0],[1231750.0,6353750.0]]]}"
"4928,25415",1848.456417189762,583.322356349589,732.1762964751323,878.3127716079184,1589.352771607918,0.0883422635749721,0.28372998375470976,-0.3540454979103145,"4928,25415","{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1232000.0,6353750.0],[1232250.0,6353750.0],[1232250.0,6354000.0],[1232000.0,6354000.0],[1232000.0,6353750.0]]]}"
"4929,25415",1831.2618734910657,620.8593529695795,772.0317914051177,912.1276436504095,1505.5730613230317,0.11370894981694937,0.24060121673400814,-0.31572582474799576,"4929,25415","{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1232250.0,6353750.0],[1232500.0,6353750.0],[1232500.0,6354000.0],[1232250.0,6354000.0],[1232250.0,6353750.0]]]}"
"4930,25415",1924.922028005792,616.6849058425877,759.9535924674063,960.2945195557694,1470.9514485755649,0.14283271536510816,0.20736520367646083,-0.3125587229378472,"4930,25415","{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1232500.0,6353750.0],[1232750.0,6353750.0],[1232750.0,6354000.0],[1232500.0,6354000.0],[1232500.0,6353750.0]]]}"
"4931,25415",1863.7675036214375,537.1124963785608,691.0679092225969,840.9065813616605,1600.7950169000474,0.08560100293707185,0.31107031198926627,-0.38890709674121177,"4931,25415","{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1232750.0,6353750.0],[1233000.0,6353750.0],[1233000.0,6354000.0],[1232750.0,6354000.0],[1232750.0,6353750.0]]]}"
"4932,25415",1856.9015548044413,501.4962771607913,656.257001448575,828.5020521487197,1556.4548816996612,0.10523994164973516,0.2998095050906419,-0.39390671609350625,"4932,25415","{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1233000.0,6353750.0],[1233250.0,6353750.0],[1233250.0,6354000.0],[1233000.0,6354000.0],[1233000.0,6353750.0]]]}"
"4933,25415",1934.528372766777,592.8799710284881,757.2314292612258,913.5070207629158,1615.713196523417,0.10105914121516454,0.2805034672426242,-0.35818470624244214,"4933,25415","{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1233250.0,6353750.0],[1233500.0,6353750.0],[1233500.0,6354000.0],[1233250.0,6354000.0],[1233250.0,6353750.0]]]}"
"4934,25415",1922.1483196523395,637.7772621921772,793.2193143408974,947.9828923225489,1598.1942974408485,0.11019774952803027,0.24669388927795963,-0.32205024023791623,"4934,25415","{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1233500.0,6353750.0],[1233750.0,6353750.0],[1233750.0,6354000.0],[1233500.0,6354000.0],[1233500.0,6353750.0]]]}"
"4935,25415",1733.9872621921752,633.3949299855136,775.3259633027516,900.3459053597292,1512.6144664413314,0.08575529418506132,0.24502208694994443,-0.3097571422347672,"4935,25415","{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1233750.0,6353750.0],[1234000.0,6353750.0],[1234000.0,6354000.0],[1233750.0,6354000.0],[1233750.0,6353750.0]]]}"
"4936,25415",1841.427793336551,669.5248285852238,801.80356832448,972.0419314340887,1393.0870835345238,0.14842977516367734,0.17403130292343225,-0.2650453247682674,"4936,25415","{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1234000.0,6353750.0],[1234250.0,6353750.0],[1234250.0,6354000.0],[1234000.0,6354000.0],[1234000.0,6353750.0]]]}"
"4937,25415",1919.0929212940587,616.7451231289227,776.360497344277,913.175364558184,1754.9460260743601,0.062243995690299904,0.3105209477819696,-0.3809654390570193,"4937,25415","{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1234250.0,6353750.0],[1234500.0,6353750.0],[1234500.0,6354000.0],[1234250.0,6354000.0],[1234250.0,6353750.0]]]}"
"4938,25415",1677.9513471752753,341.21008208594844,521.7670159343307,458.2348961854175,2510.300507001446,-0.18098497747023526,0.6768892228242664,-0.6384036916283148,"4938,25415","{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1234500.0,6353750.0],[1234750.0,6353750.0],[1234750.0,6354000.0],[1234500.0,6354000.0],[1234500.0,6353750.0]]]}"
