cell_id,B11,B2,B3,B4,B5,B6,B7,B8,B8A,BSI,MNDWI,NDBI,NDBI_std,NDVI,NDVI_std,NDWI,brightness,distance_to_boundary_centroid,road_density,building_area_ratio,vegetation,built_up,water,other
"4912,25386",1677.1384277791187,886.6808150470235,1030.9230094043908,1074.443703882326,1308.3300217024378,1626.3891294912005,1731.406669881845,1719.9060139860164,1793.2190884977117,0.0354393292978973,-0.2532632515085575,0.0032096252175518,0.0721939048004123,0.2220392952658543,0.0675018404564911,-0.2409072073359852,1384.9071292500626,4025.167295377868,0.0781791180218824,0.2770119113795785,0.0925623980935658,0.9073121786027843,0.0,0.0001254233036498
"4913,25386",1614.293855799375,663.4887099107801,818.2304027007488,817.3780419580428,1080.7767542802044,1630.0536243067302,1830.934593682182,1803.502199180132,1927.592973233665,0.0034182651967161,-0.3354048819920807,-0.0356938087554995,0.087305750168882,0.3465608970050877,0.1031557551428353,-0.3483693980489382,1264.4636050156755,3878.666277429738,0.0626288002269534,0.1514312072239004,0.2273828015706858,0.7676967457476674,0.0,0.0049204526816467
"4914,25386",1904.049389920429,788.9095153122748,975.5912322160616,1012.5720327947936,1307.2064287436722,1904.142425850016,2110.097299252473,2093.7724186158694,2211.0781335905504,0.0044607563027114,-0.3274903415834475,-0.0383980686906034,0.078310609224227,0.3251614229356297,0.0987823159416943,-0.3394059751711902,1498.9740125391882,3733.5255568679695,0.0332379423195108,0.2796083821316178,0.221594033709925,0.7415025711777246,0.0,0.0369033951123503
"4915,25386",1946.5837231733817,583.6265589582839,804.4666264769728,813.0467277550055,1206.3076151434784,2139.4694333252983,2427.603573667715,2423.7495828309648,2588.551796479387,-0.0267158511850462,-0.4042869210652681,-0.0714512968994751,0.1218517852213991,0.4498308353534042,0.1601660093755852,-0.4370331518187472,1487.879082469257,3589.9102087300007,0.021773325785187,0.0925510194151607,0.268859323293037,0.3610261555827844,0.0735655915638356,0.2965489295603429
"4916,25386",1381.9617265493152,637.6283578490486,797.1303448275878,778.7145985049448,969.9587074993984,1367.6921871232232,1513.2152302869574,1454.8413021461326,1572.2562189534622,0.0461135723726572,-0.2564596448238733,0.035298908602582,0.1133097083389011,0.2544799308588879,0.1175847806246198,-0.2202375974737413,1108.4682939474335,3448.010734696947,0.0417685963368152,0.103605898686467,0.1879612924389042,0.5188665592528634,0.2829260291946857,0.0102461191135466
"4917,25386",1496.0424451410686,543.443231251508,720.8400675186898,688.4731757897288,953.2255220641438,1543.7969182541606,1773.1417120810254,1741.7986303351836,1888.082691102004,-0.0036718712536785,-0.3353189008988218,-0.0266010083736637,0.1171215731492143,0.3702788305627551,0.1301359723982903,-0.3301621678980108,1154.2179985531727,3308.0480362812445,0.042603642351416,0.0098498547829058,0.4359714034867679,0.3776785111289062,0.1789694063618557,0.00738067902247
"4918,25386",1807.4591270798203,378.80120569086125,594.8681456474569,519.7067132867141,964.8803906438404,2145.826621654211,2506.002565710155,2540.6968748492936,2710.6915022908174,-0.1296032226178819,-0.504930094523634,-0.1726440147554253,0.1352973333511433,0.6341511612311322,0.1394221837187935,-0.5832977362959143,1362.900523269835,3170.278583375166,0.0210267273978262,0.0,0.8670127063454544,0.1279993053478568,0.0049879883066889,0.0
"4919,25386",1946.594453822044,333.5111405835549,589.0815481070664,474.64558958283175,1028.1873788280698,2285.188627923804,2690.126853146858,2733.8618857005104,2949.213667711604,-0.1473489803115094,-0.5425514373122172,-0.1913635368081325,0.1435943385649772,0.7016147009251876,0.1570993652146225,-0.6365361870309671,1446.840999517726,3035.0011526849453,0.021081710149036,0.0,1.0,0.0,0.0,0.0
"4920,25386",2092.642440318305,338.43817217265536,625.562285989873,473.00164938509823,1082.1896165903077,2730.8150518447123,3263.493281890527,3330.203554376661,3562.391637328194,-0.1860765069528019,-0.5452462494476813,-0.2327844536049357,0.1124009778358396,0.739632925246175,0.1206242382196932,-0.6667912769254397,1631.9188172172685,2902.564102369616,0.0084679035957296,0.0,0.9970091366052736,0.0029908633947264,0.0,0.0
"4921,25386",1525.9668579696186,333.15859175307503,514.1228936580667,439.7112707981681,817.7102483723191,1931.049727513869,2368.452929828796,2405.2958234868624,2571.7989823969165,-0.1747400723444761,-0.5053145223529714,-0.2267106261008331,0.1313732252357685,0.6768578876328244,0.1323320731928835,-0.6338452020762549,1244.0589209066811,2773.3744227162465,0.0,0.0007726051520685,0.8546150951769913,0.1404644521413618,0.0,0.0049204526816467
